Nested Sampling Global Log-Evidence           :   -0.191968954324282845E+04  +/-    0.327805483959813015E+00
Nested Importance Sampling Global Log-Evidence:   -0.192070786326755911E+04  +/-    0.325579981501397109E-01

Dim No.       Mean        Sigma
   1    0.417401606621054899E+01    0.392306529733012077E+01
   2    0.109412774429631665E+01    0.389759047749545662E-02
   3    0.118978162278316972E+02    0.633732084231461812E+01
   4    0.522532904027611065E+10    0.189773516965250254E+09
   5    0.381788779942478322E+04    0.346891651715074145E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.891151539690747230E+00
   2    0.109506667574995387E+01
   3    0.125875943908725247E+02
   4    0.535974597545281315E+10
   5    0.381292240374291760E+04

MAP Parameters
Dim No.        Parameter
   1    0.891151539690747230E+00
   2    0.109506667574995387E+01
   3    0.125875943908725247E+02
   4    0.535974597545281315E+10
   5    0.381292240374291760E+04
