Nested Sampling Global Log-Evidence           :   -0.273252389545487517E+03  +/-    0.286122157038992408E+00
Nested Importance Sampling Global Log-Evidence:   -0.274074589168199964E+03  +/-    0.485404291586625028E-01

Dim No.       Mean        Sigma
   1    0.201200279235893369E+02    0.856080467394717104E+01
   2    0.136277509411873421E+01    0.143810122454520102E-02
   3    0.165182285664781574E+02    0.348000312520218769E+01
   4    0.134172894407233119E+09    0.160611216505281985E+09
   5    0.530131601341237001E+03    0.354422194064026996E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.181805351554076005E+02
   2    0.136271639045935111E+01
   3    0.166595468627404593E+02
   4    0.100131120248490155E+09
   5    0.525084449699499487E+03

MAP Parameters
Dim No.        Parameter
   1    0.181805351554076005E+02
   2    0.136271639045935111E+01
   3    0.166595468627404593E+02
   4    0.100131120248490155E+09
   5    0.525084449699499487E+03
