Nested Sampling Global Log-Evidence           :   -0.156382559667761910E+03  +/-    0.243977570883535277E+00
Nested Importance Sampling Global Log-Evidence:   -0.157386530280995714E+03  +/-    0.411781072585261990E-01

Dim No.       Mean        Sigma
   1    0.408768546674813820E+02    0.199145681939473107E+02
   2    0.135680255220803847E+01    0.798233843063754153E-02
   3    0.114036269388812777E+02    0.697784224718919166E+01
   4    0.102911523934445456E+09    0.916735014004291594E+08
   5    0.300860108316679543E+03    0.307660919683645018E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.335679662143956818E+02
   2    0.133910593879924011E+01
   3    0.119629960506808661E+02
   4    0.102688640320566118E+09
   5    0.295650315835564811E+03

MAP Parameters
Dim No.        Parameter
   1    0.335679662143956818E+02
   2    0.133910593879924011E+01
   3    0.119629960506808661E+02
   4    0.102688640320566118E+09
   5    0.295650315835564811E+03
