Nested Sampling Global Log-Evidence           :   -0.413625946586322129E+03  +/-    0.309393155801384268E+00
Nested Importance Sampling Global Log-Evidence:   -0.413782286701930104E+03  +/-    0.356404163117976583E-01

Dim No.       Mean        Sigma
   1    0.464996870861226910E+03    0.132411701590342190E+02
   2    0.168344096870385873E+01    0.329896227817770170E-03
   3    0.262032163872764272E+02    0.147196459511131597E+02
   4    0.120624835945043750E+08    0.364181866334630083E+07
   5    0.808107068201362949E+03    0.316224232432296670E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.467718338985885907E+03
   2    0.168341903057153375E+01
   3    0.267975541071565075E+02
   4    0.103845764765872173E+08
   5    0.803974742923623353E+03

MAP Parameters
Dim No.        Parameter
   1    0.450193886983500818E+03
   2    0.168395439946797709E+01
   3    0.241676098871759493E+02
   4    0.108016790472349674E+08
   5    0.807847780623248013E+03
