Nested Sampling Global Log-Evidence           :   -0.591693508579425043E+03  +/-    0.324076674602642278E+00
Nested Importance Sampling Global Log-Evidence:   -0.592504996563127975E+03  +/-    0.253109625490194716E-01

Dim No.       Mean        Sigma
   1    0.980913325690678164E+02    0.158212754861732319E+01
   2    0.111544639365786291E+01    0.665325756610648188E-03
   3    0.754782763626502629E+02    0.475929817308188774E+01
   4    0.157280192782016724E+09    0.197398268742152862E+08
   5    0.116238187895462102E+04    0.301733109888956941E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.999188895394104435E+02
   2    0.111556505109989157E+01
   3    0.741989550774108153E+02
   4    0.150358614039885014E+09
   5    0.115795629192213028E+04

MAP Parameters
Dim No.        Parameter
   1    0.991033645408997614E+02
   2    0.111687136850655588E+01
   3    0.719737994922151358E+02
   4    0.153368332623050869E+09
   5    0.116282236094176278E+04
