Nested Sampling Global Log-Evidence           :   -0.439374666370278135E+03  +/-    0.327709101963348959E+00
Nested Importance Sampling Global Log-Evidence:   -0.440991602709661208E+03  +/-    0.249738198410870867E-01

Dim No.       Mean        Sigma
   1    0.991865584746692832E+02    0.779876019487428795E+00
   2    0.110579304226257458E+01    0.675648770781681475E-03
   3    0.905581069995685652E+02    0.595671094975881843E+01
   4    0.258007021604117095E+09    0.426966821138408333E+08
   5    0.857270681638640554E+03    0.313449971457916421E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.999303677950815086E+02
   2    0.110579324427528025E+01
   3    0.951825569205121553E+02
   4    0.286791818454568565E+09
   5    0.852644721850512042E+03

MAP Parameters
Dim No.        Parameter
   1    0.999303677950815086E+02
   2    0.110579324427528025E+01
   3    0.951825569205121553E+02
   4    0.286791818454568565E+09
   5    0.852644721850512042E+03
