Nested Sampling Global Log-Evidence           :   -0.760406211198338951E+03  +/-    0.273868401250876192E+00
Nested Importance Sampling Global Log-Evidence:   -0.761229561738076882E+03  +/-    0.285005700598942383E-01

Dim No.       Mean        Sigma
   1    0.110313795829135852E+01    0.164379857946302522E-02
   2    0.931775345226574956E+02    0.452099291094759348E+01
   3    0.488917159342012525E+09    0.308903443307379149E+08
   4    0.150581164215619651E+04    0.239662639656441767E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.110338546565925388E+01
   2    0.958560248035795013E+02
   3    0.494700502446215212E+09
   4    0.150313932509577148E+04

MAP Parameters
Dim No.        Parameter
   1    0.110336214905776897E+01
   2    0.853464130025516852E+02
   3    0.479599536578115046E+09
   4    0.150594634998445622E+04
