Nested Sampling Global Log-Evidence           :   -0.180249259054152844E+03  +/-    0.297945515468681643E+00
Nested Importance Sampling Global Log-Evidence:   -0.180475270068166139E+03  +/-    0.260966704737028848E-01

Dim No.       Mean        Sigma
   1    0.634930606881083914E+01    0.395280298220083237E+01
   2    0.108979923307201498E+01    0.398532240651830634E-02
   3    0.165437146966384603E+02    0.294325889174489541E+01
   4    0.140530963686711812E+10    0.186056048819341242E+09
   5    0.342744212070755850E+03    0.278694495519905505E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.776784874361790045E+01
   2    0.109007881574247945E+01
   3    0.162588664439896107E+02
   4    0.143407375020963025E+10
   5    0.338522219799487743E+03

MAP Parameters
Dim No.        Parameter
   1    0.153493733116526805E+02
   2    0.109143486025899827E+01
   3    0.149263912968551757E+02
   4    0.147875414222455597E+10
   5    0.343137554104495280E+03
