Nested Sampling Global Log-Evidence           :   -0.561006117893522287E+03  +/-    0.255190894666805446E+00
Nested Importance Sampling Global Log-Evidence:   -0.561421164054275778E+03  +/-    0.284863064862353049E-01

Dim No.       Mean        Sigma
   1    0.108691191332682391E+01    0.423338457588970461E-02
   2    0.123146158143562499E+02    0.271367820293814654E+01
   3    0.141632914890349412E+10    0.162386252164169520E+09
   4    0.110898775724302573E+04    0.251436590732470489E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108381398245321403E+01
   2    0.114739960479226628E+02
   3    0.144343176736290622E+10
   4    0.110500984782142268E+04

MAP Parameters
Dim No.        Parameter
   1    0.108042442373443492E+01
   2    0.100521375739973440E+02
   3    0.162383884802291465E+10
   4    0.110943343554700027E+04
