Nested Sampling Global Log-Evidence           :   -0.654840820694796832E+02  +/-    0.226936374379424266E+00
Nested Importance Sampling Global Log-Evidence:   -0.670374886317332681E+02  +/-    0.249343215488859044E-01

Dim No.       Mean        Sigma
   1    0.490061650574184284E+02    0.273412433609437819E+02
   2    0.137055648618870984E+01    0.836840262832792142E-02
   3    0.660225774239214669E+01    0.510738939696807925E+01
   4    0.215239547927153297E+08    0.912550979441745766E+07
   5    0.120668140535663753E+03    0.212312903438363954E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.387011241597572919E+02
   2    0.136498849560612001E+01
   3    0.264571882116009571E+00
   4    0.131691175128893461E+08
   5    0.117646878897066799E+03

MAP Parameters
Dim No.        Parameter
   1    0.259857598030470349E+02
   2    0.136289460383953176E+01
   3    0.972047798601752433E+01
   4    0.380868016534250379E+08
   5    0.120977118391798740E+03
