Nested Sampling Global Log-Evidence           :   -0.126970390263991959E+03  +/-    0.214436389792497323E+00
Nested Importance Sampling Global Log-Evidence:   -0.127760266466087103E+03  +/-    0.282655210353450065E-01

Dim No.       Mean        Sigma
   1    0.111273325826952885E+03    0.458152017951460593E+02
   2    0.136489297343998706E+01    0.100541023292221518E-01
   3    0.457041580940850967E+01    0.424331307814307834E+01
   4    0.725246524626834542E+08    0.141037559829618990E+09
   5    0.244744187474532623E+03    0.298982406216371466E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.106251163756242605E+03
   2    0.133994219749390453E+01
   3    0.448897435513102305E+01
   4    0.131595933204851989E+08
   5    0.239751950705748300E+03

MAP Parameters
Dim No.        Parameter
   1    0.122510368069598840E+03
   2    0.137154906658043663E+01
   3    0.340374616890115833E+01
   4    0.111161085862387065E+08
   5    0.245087856479649218E+03
