Nested Sampling Global Log-Evidence           :   -0.236577683424763876E+03  +/-    0.287078010482881285E+00
Nested Importance Sampling Global Log-Evidence:   -0.237758694014120181E+03  +/-    0.257702772382735860E-01

Dim No.       Mean        Sigma
   1    0.365755433610776208E+02    0.139720189949485558E+02
   2    0.181955512010859510E+01    0.248855423779074034E-01
   3    0.182436681040283695E+02    0.181514323707735450E+02
   4    0.164341167312349789E+08    0.269618518332111463E+07
   5    0.456672610028910469E+03    0.318432565577358861E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.432967691813694842E+02
   2    0.180946112561896100E+01
   3    0.159077186284536443E+01
   4    0.174590558376115486E+08
   5    0.451843192254673227E+03

MAP Parameters
Dim No.        Parameter
   1    0.432967691813694842E+02
   2    0.180946112561896100E+01
   3    0.159077186284536443E+01
   4    0.174590558376115486E+08
   5    0.451843192254673227E+03
