Nested Sampling Global Log-Evidence           :   -0.596188197297125697E+02  +/-    0.216521466203839219E+00
Nested Importance Sampling Global Log-Evidence:   -0.603088681532957978E+02  +/-    0.252807035308709148E-01

Dim No.       Mean        Sigma
   1    0.274904974969333082E+02    0.191742147807098000E+02
   2    0.136317439985967925E+01    0.569077437253434106E-02
   3    0.195411202490502873E+02    0.115359802089876791E+02
   4    0.796566117101035476E+09    0.477024536306033254E+09
   5    0.109861330394018580E+03    0.264018251705826401E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.472995985518168904E+01
   2    0.136360973652909334E+01
   3    0.170430582011439391E+02
   4    0.960743658854354262E+09
   5    0.105766118522295571E+03

MAP Parameters
Dim No.        Parameter
   1    0.661782368389317384E+02
   2    0.136071255730213547E+01
   3    0.272639233951746931E+02
   4    0.633963057006220222E+09
   5    0.110602804866863863E+03
