Nested Sampling Global Log-Evidence           :   -0.425958279807109648E+03  +/-    0.351024922959070673E+00
Nested Importance Sampling Global Log-Evidence:   -0.426615699038417802E+03  +/-    0.610996712338636172E-01

Dim No.       Mean        Sigma
   1    0.525691781507867972E+02    0.967682809166260505E+01
   2    0.115153908606214528E+01    0.622219685900792787E-03
   3    0.991735182182907238E+02    0.828101653451228881E+00
   4    0.351594776304363012E+08    0.507940985784906428E+07
   5    0.827272860306549205E+03    0.351043448353162102E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.527514123525963257E+02
   2    0.115157018738424011E+01
   3    0.999719448175625018E+02
   4    0.327655016940856874E+08
   5    0.822018688594263381E+03

MAP Parameters
Dim No.        Parameter
   1    0.527514123525963257E+02
   2    0.115157018738424011E+01
   3    0.999719448175625018E+02
   4    0.327655016940856874E+08
   5    0.822018688594263381E+03
