Nested Sampling Global Log-Evidence           :   -0.649319086224237907E+02  +/-    0.278536133228932781E+00
Nested Importance Sampling Global Log-Evidence:   -0.659526809472169049E+02  +/-    0.222561949749260114E-01

Dim No.       Mean        Sigma
   1    0.929110090667780923E+02    0.142317062210778680E+02
   2    0.115014732169394596E+01    0.182291818495672960E-02
   3    0.965673092258726768E+02    0.312746538103476146E+01
   4    0.670718184912211671E+08    0.236500776046506576E+08
   5    0.114347341742026416E+03    0.307393909867846515E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.854790909827211607E+02
   2    0.115030998364995352E+01
   3    0.998587405295050132E+02
   4    0.546757855687784627E+08
   5    0.109888425976792377E+03

MAP Parameters
Dim No.        Parameter
   1    0.879236534436886643E+02
   2    0.114970257510536600E+01
   3    0.904068036813057176E+02
   4    0.546224992311393097E+08
   5    0.114878347371840619E+03
